"filename", "language", "XML", "Markdown", "JavaScript", "JSON", "JSON with Comments", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\libs\actions.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 1, 10, 45
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\libs\config.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 4, 6, 63
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\next.config.mjs", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 1, 2, 5
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\package-lock.json", "JSON", 0, 0, 0, 6270, 0, 0, 0, 0, 1, 6271
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\package.json", "JSON", 0, 0, 0, 33, 0, 0, 0, 0, 1, 34
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\postcss.config.mjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\public\file.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\public\globe.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\public\next.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\public\vercel.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\public\window.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 5, 27, 326, 6346, 7, 1533, 51, 35, 345, 8675
